Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,ROG-STRIX-RTX2080S-A8G-Gaming,Asus,Asus RTX 2080 Super 8GB ROG Strix A8G,14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,ROG-STRIX-RTX2080S-O8G-Gaming,Asus,Asus RTX 2080 Super 8GB ROG Strix O8G,14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,RTX 2080 Super Ventus XS OC,MSI,MSI RTX 2080 Super 8GB Ventus XS OC,14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,RTX 2080 SUPER VENTUS OC,MSI,MSI RTX 2080 Super 8GB Ventus OC,14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,Gv-N208SWF3OC-8GD,Gigabyte,Gigabyte RTX 2080 Super 8GB Windforce,14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,08G-P4-3081-KR,EVGA,EVGA RTX 2080 Super 8GB Black Gaming,14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,GV-N208SAORUS-8GC,Gigabyte,Gigabyte RTX 2080 Super 8GB Aorus Windforce,14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,08G-P4-2083-KR,EVGA,EVGA RTX 2080 Super 8GB KO Dual,14,138,169271,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050
GPU,,Nvidia,GTX 1080-Ti,15,136,607788,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,11G-P4-6390-KR,EVGA,EVGA GTX 1080 Ti 11GB Founders Edition,15,136,607788,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GV-N108TD5X-B,Nvidia,Gigabyte GTX 1080 Ti 11GB Founders Edition,15,136,607788,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GTX 1080 Ti Founders Edition,Nvidia,MSI GTX 1080 Ti 11GB Founders Edition,15,136,607788,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,ZT-P10810A-10P,Nvidia,Zotac GTX 1080 Ti 11GB Founders Edition,15,136,607788,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
GPU,GTX1080TI-FE,Asus,Asus GTX 1080 Ti 11GB Founders Edition,15,136,607788,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918
